Jurisdicción,Sector,Ámbito,Departamento,Código de departamento,Localidad,Código de localidad,Cueanexo,Nombre,Domicilio,C. P.,Teléfono,Mail,Común,Especial,Adultos,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET,SNU - Cursos,Nivel inicial - Educación temprana,Nivel inicial - Jardín de infantes,Primario,Secundario,Integración a la modalidad común/ adultos,Primario,Secundario,Formación Profesional,Formación Profesional - INET,Alfabetización,Inicial,Primario,Secundario,,,
Buenos Aires,Estatal,Urbano,BRANDSEN,06119,CORONEL BRANDSEN,06119003,062040600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº8,MEDALLA MILAGROSA Y FEDERICO  BRANDSEN   LA DOLLY,1980,02223 44-4966,escuelasecundaria8brandsen@gmail.com; gustavocorrieri@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LOMAS DE ZAMORA,06490,TEMPERLEY,06490007,062040700,ESCUELA DE EDUCACIÓN SECUNDARIA N°86,ALLEMANDRI E/ ARIÑO Y ZEBALLOS 1501  ,1834,011 3110-0970,secundaria86lomasdezamora@abc.gob.ar; escuelasecundaria86@gamil.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LA MATANZA,06427,SAN JUSTO,06427012,062040800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº87,CENTENERA 2287  ,1754,011 4441-7950,secundaria87lamatanza@abc.gob.ar; secundaria87arvis@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LA MATANZA,06427,VILLA LUZURIAGA,06427014,062040900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº177,SANTANDER ESQ BRUSELAS 5953  ,1753,0 0,hidalmony@outloock.com; silvana_071@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LA MATANZA,06427,VILLA MADERO,06427015,062041000,ESCUELA DE EDUCACIÓN SECUNDARIA Nº117 SUBMARINISTAS DEL ARA SAN JUAN,AV. SAN MARTÍN 7800  ,1772,011 4622-4350,secundaria117lamatanza@abc.gob.ar; graciela2729@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LA MATANZA,06427,LOMAS DE MIRADOR,06427020,062041200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº 80 ALICIA MOREAU DE JUSTO,HERNANDARIAS 805  ,1752,011 4653-6933,eesn80@gmail.com; julietamartucci@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,ALMIRANTE BROWN,06028,GLEW,06028006,062041300,ESCUELA DE EDUCACIÓN SECUNDARIA N°75,ENTRE RIOS Y FRENCH 320  LOS ALTOS,1856,02224 57-8201,secundaria75altebrown@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,SAN FERNANDO,06749,ARROYO DURAZNO,06749004,062041400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº25,ARROYO DURAZNO   PARAJE ISLAS,1646,011 4728-4857,secundaria25sanfernando@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,MORON,06568,EL PALOMAR,06568002,062041600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº32,VILLEGAS 1169  BARRIO CARLOS GARDEL,1684,0 0,alelera1980@gmail.com; 32secundariaelpalomar@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,CAÑUELAS,06134,GOBERNADOR UDAONDO,06134009,062041700,ESCUELA SECUNDARIA BASICA Nº7,PANAMA Y RUTA 16   GOBERNADOR UDAONDO,7221,02223 15-41-5361,secundaria7canuelas@abc.gob.ar; smazas@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,NAVARRO,06574,LAS MARIANAS,06574014,062041800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 RENÉ FAVALORO,CALLE 13   ,6607,02272 49-2182,eesn1navarro@gmail.com; esb4navarro@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LUJAN,06497,LUJAN,06497009,062041900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº10 BARRIO SAN FRANCISCO,REPUBLICA ARGENTINA 2852  BARRIO SAN FRANCISCO,6700,02323 43-7003,secundaria10lujan@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,LUJAN,06497,LUJAN,06497009,062042000,ESCUELA DE EDUCACIÓN SECUNDARIA Nº12,JUPITER 424  LOS LAURELES,6700,02323 42-1759,eeslujan12@gmail.com; karinagangelo05@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,LUJAN,06497,CORTINES,06497003,062042100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº 16 DR. JOSÉ LUIS SWINNEN,FRAY JUSTO SANTA MARÍA DE ORO 839  ,6712,02323 48-8544,secundaria16lujan@abc.gob.ar; ms16lujan@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,EXALTACION DE LA CRUZ,06266,LOS CARDALES,06266016,062042200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2,GRAL.RODRIGUEZ E/ MATHEU Y LUJAN 264  BARRIO SAN J. DE TAL,2814,02304 49-2981,secundaria2exaltaciondelacruz@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,ZARATE,06882,ZARATE,06882012,062042300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº19,JUSTO J. URQUIZA ESQ. PUEYRREDÓN 1302  ,2800,03487 42-4068,escuelasecundaria19zarate@gmail.com; secundaria19zarate@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,ZARATE,06882,ZARATE,06882012,062042400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5,RIO PARANA GUAZU KM 194 (BOCA ARRIBA)   ISLA BOTIJA,2800,03487 15-58-6688,secundariabasica05zarate@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,SAN PEDRO,06770,SAN PEDRO,06770034,062042500,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17,LAPRIDA - CUARTEL III   ROLFO,2930,03329 42-5428,secundaria17sanpedro@abc.gob.ar; silvingarcia2@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,SAN ANTONIO DE ARECO,06735,VILLA LIA,06735009,062042600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 MARIANO USTARIZ,AVELLANEDA Y ENTRE RIOS 110  ,2761,02326 49-8346,esbn307@yahoo.com.ar; mpultrone@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,FLORENTINO AMEGHINO,06277,PORVENIR,06277008,062042800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº4,ZONA RURAL   ,6063,03388 15-45-4893,secundaria4ameghino@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,AYACUCHO,06042,AYACUCHO,06042001,062042900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5,ARISTÓBULO DEL VALLE E/MORENO Y BELGRANO 1700  ,7150,02296 45-4797,ptusq@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,MAR CHIQUITA,06518,MAR DE COBO,06518011,062043100,ESC. SECUNDARIA Nº5,DEL TEMPLE 365  ,7609,0223 584-4155,secundaria5marchiquita@abc.gob.ar; albtodarello@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,BALCARCE,06063,BALCARCE,06063001,062043200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 “LAGUNA BRAVA”,"RUTA 226 KM. 38,500   LA MARTA",7620,02266 43-0297,secundaria5balcarce@abc.gob.ar; nvuotto@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,BALCARCE,06063,EL CRUCE,06063007,062043201,ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº5,RUTA 226 KM 62.500 3051  ,7620,02266 43-0297,secundaria5balcarce@abc.gob.ar; nvuotto@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,NECOCHEA,06581,NECOCHEA,06581018,062043300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº15,59 E/82 Y 86 3953  ,7630,02262 42-2268,secundaria15necochea@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,CORONEL DE MARINA L ROSALES,06182,VILLA GENERAL ARIAS,06182020,062043500,ESCUELA DE EDUCACIÓN SECUNDARIA Nº7,GUTIERREZ Y NICARAGUA   ,8101,02932 49-3029,secundaria7crosales@abc.gob.ar; esbn07@yahoo.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LA PLATA,06441,MELCHOR ROMERO,06441058,062043600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº78 AZUCENA VILLAFLOR,517 E/ 173 Y 174   ,1903,0221 478-1965,secundaria78lp@hotmail.com; ivanaroman@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LOMAS DE ZAMORA,06490,LOMAS DE ZAMORA,06490005,062043700,ESCUELA DE EDUCACIÓN SECUNDARIA Nº38,LOPE DE VEGA 1070  BARRIO LOS GENERALES,1832,011 65343308/ 56068,secundaria38lomasdezamora@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LA MATANZA,06427,L DEL MIRADOR,06427017,062043800,ESCUELA DE EDUCACIÓN SECUNDARIA N°186 JUAN ALBERTO BADÍA,EVA PERÓN Y AVDA. DIAZ VELEZ 997  ,1752,011 4657-7067,ees186lamatanza@gmail.com; lvaleri79@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,QUILMES,06658,BERNAL,06658001,062043900,ESCUELA DE EDUCACIÓN SECUNDARIA N°72,AVENIDA DARDO ROCHA E/ FORMOSA Y CHACO 1343  ,1876,011 4251-8697,secundaria72quilmes@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,ALMIRANTE BROWN,06028,BURZACO,06028003,062044000,ESCUELA DE EDUCACIÓN SECUNDARIA Nº56,CERRETI Y CABRERA 2275  ,1852,011 4238-0056,secundaria56altebrown@abc.gob,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,SAN VICENTE,06778,ALEJANDRO KORN,06778001,062044100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº8,ISABEL LA CATOLICA Y BULLRICH 792  VILLA AMELIA,1864,02225 0,eessv8@gmail.com; secundaria8sanvicente@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,NAVARRO,06574,VILLA MOLL,06574020,062044200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 VETERANOS DE MALVINAS,SANTA FÉ 260  ,6627,02272 49-8059,secundaria2navarro@abc.gob.ar; ees2villamoll@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,SAN ANDRES DE GILES,06728,SOLIS,06728015,062044300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº7,BELGRANO   ,2764,02326 49-2275,escuelasecundaria7sag@gmail.com.ar; secundaria7sanandresdegiles@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,MARCOS PAZ,06525,MARCOS PAZ,06525008,062044500,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,RUTA 1003 KM 45 CUARTEL II   ,1727,011 3158-9252,secundaria3marcospaz@abc.gob.ar; ees3pueblosoriginarios@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,EXALTACION DE LA CRUZ,06266,CHENAUT,06266008,062044600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 “JUAN CARLOS TROIELLI”,"RUTA 193 KM. 28,500   ",2812,02326 49-2608,secundaria7exaltaciondelacruz@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,RAMALLO,06665,VILLA GENERAL SAVIO,06665015,062044700,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 IRMA GARRO DE ESEVERRI,RUTA 1001 Y ACCESO AUTOPISTA   ,2912,03407 15-40-0606,secundaria5ramallo@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,SAN PEDRO,06770,RIO TALA,06770032,062044800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9,CAMELINO Y GÜEMES 9  ,2944,03329 49-8615,flgarcia4@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,BALCARCE,06063,BALCARCE,06063001,062044900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº 8 JUANA AZURDUY,RUTA 55 KM 67.5   EL PARQUE,7620,02266 42-2707,secundaria8balcarce@abc.gob.ar; escuelasecundariaocho@yahoo.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,BALCARCE,06063,BALCARCE,06063001,062044901,EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº8,4 E/15 Y 13   LOS PINOS,7620,02266 49-0252,escuelasecundariaocho@yahoo.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LOMAS DE ZAMORA,06490,LLAVALLOL,06490004,062045200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº52,ARAGUAYA 957  ,1836,011 4231-6229,secundaria52lomasdezamora@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,CAÑUELAS,06134,BARRIO SAN ESTEBAN - BARRIO LOS POZOS,06134005,062045300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº 6 CARLOS VEGA,PUEYRREDÓN 364  ,1814,02226 55-6621,secundaria6canuelas@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,SAN ANDRES DE GILES,06728,VILLA ESPIL,06728017,062045400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 FELIPE SANTIAGO ESPIL,FERNANDO PELAEZ 126  ,6713,02325 15-68-8271,candelariapedretti@gmail.com; secundaria5sanandresdegiles@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,ZARATE,06882,ESCALADA,06882007,062045600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº 6 ROBERTO FONTANARROSA,CUARTEL IV   ,2801,03487 45-0148,secundaria6zarate@abc.gob.ar; lauradominguez2004@yahoo.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,ZARATE,06882,LIMA,06882010,062045700,ESCUELA DE EDUCACIÓN SECUNDARIA Nº10,CAMINO DE LAS SIETE VUELTAS RUTA 9 KM 97   LAS PALMAS,2806,0 0,secundaria10zarate@abc.gob.ar; escuelasecundaria10zarate@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,SALTO,06714,SALTO,06714023,062045800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 HÉROES DE MALVINAS,AZCUÉNAGA E/ MITRE Y BELGRANO 129  ,2741,02474 42-4516,secundarian5salto@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,SALTO,06714,LA INVENCIBLE,06714012,062045802,EXTENSION DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº5,AZCUENAGA 133  ,2741,02474 42-4516,secundaria5salto@hotmail.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LA PLATA,06441,TOLOSA,06441061,062045900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº92,3,1900,0221 482-7136,secundaria92laplata@abc.gob.ar; mirtavillagra1900@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LA PLATA,06441,LA PLATA,06441026,062045901,ANEXO DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº92,5 BIS E/ 519 Y 520   ,1900,0221 484-8058,secundaria92laplata@abc.gob.ar; mvillagra@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,SAN ANTONIO DE ARECO,06735,SAN ANTONIO DE ARECO,06735007,062046200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº4,SAVINA PETRILLI 620  ,2760,02326 45-2614,ees4sada@hotmail.com; marcela.moscato@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,GENERAL BELGRANO,06301,GENERAL BELGRANO,06301005,062046300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 DR. RENÉ FAVALORO,125 Y 68   EL HIPODROMO,7223,02243 45-4552,esb3gralbelgrano@hotmail.com; sal_iuli@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,GENERAL PUEYRREDON,06357,BATAN,06357009,062046400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº74 EVA DUARTE,30 ENTRE 5 Y 7   El Boqueron,7601,0223 464-3196,secundaria74gpueyrredon@abc.gob.ar; pcyani@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,GENERAL PUEYRREDON,06357,BATAN,06357009,062046401,ANEXO Nº1 DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº74,CAMINO LOS ORTIZ   LOS ORTIZ,7601,0223 464-3659,escuelasecundaria57@gmail.com; rominalorenarojas@yahoo.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,GENERAL PUEYRREDON,06357,MAR DEL PLATA,06357020,062046500,ESCUELA DE EDUCACIÓN SECUNDARIA Nº42,19   LOS ACANTILADOS,7600,0223 467-2700,secundaria42gpueyrredon@abc.gob.ar; dsavoia@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,PILAR,06638,PILAR,06638012,062047000,ESCUELA DE EDUCACIÓN SECUNDARIA Nº 17 SIMÓN BOLIVAR,ARTURO FRONDIZI   ,1631,0230 444-3116,secundaria17pilar@gamil.com; dlandaburo@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,CAMPANA,06126,CAMPANA,06126005,062047100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº11,HARRICHABALET 574  LAS PRADERAS,2804,011 5039-5881,laurapgomez@hotmail.com; ees11campana@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,ARRECIFES,06077,ARRECIFES,06077001,062047200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 RICARDO MENDOZA DUMAS,PARAGUAY Y VENEZUELA 1581  BARRIO LA CUMBRE,2740,02478 45-3843,ees5arrecifes@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,PERGAMINO,06623,PERGAMINO,06623031,062047300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº12,PASO E/ JOHN Y EL SOCORRO 1288  ,2700,02477 44-5360,ees12.pergamino@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,MAR CHIQUITA,06518,VIVORATA,06518015,062047400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº4,AVENIDA BELGRANO 64  ,7612,02265 49-2035,eesn4vivoratacobo@gmail.com; naverneri@yahoo.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,ADOLFO ALSINA,06007,CARHUE,06007006,062047500,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2,SAN MARTÍN Y ECHEVERRIA   ,6430,02936 43-2271,secundaria2carhue@gmail.com; mafeba78@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,ADOLFO ALSINA,06007,CARHUE,06007006,062047501,EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº2,BRRIO. ARTURO ILLIA   BARRIO A.ILLIA,6430,02936 43-2271,secundaria2aalsina@abc.gob.ar; secundaria2carhue@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,GENERAL LA MADRID,06322,LA COLINA,06322007,062047600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 ISLAS MALVINAS,BARRACAS 440  ,7408,02286 49-4113,secundaria3glamadrid@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,TRENQUE LAUQUEN,06826,30 DE AGOSTO,06826001,062047700,ESCUELA DE EDUCACIÓN SECUNDARIA Nº7,ESTRADA 195  ,6405,02392 45-2379,meliartaza@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,TRENQUE LAUQUEN,06826,GIRODIAS,06826014,062047701,EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº7,LAS ROSAS Y LAS MADRESELVAS   ,6407,02392 55-5427,meliartaza@gmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,SAN FERNANDO,06749,SAN FERNANDO,06749021,062047800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº22,RIO PARANA MINI Y ARROYO CHANA   PARAJE ISLAS,1646,011 4728-5076,secundaria22sanfernando@abc.gob.ar; mromerovargas@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,SAN FERNANDO,06749,SAN FERNANDO,06749021,062047900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9,RIO CARABELAS   ,1646,011 4728-0397,secundaria9sanfernando@abc.gob.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,PERGAMINO,06623,PERGAMINO,06623031,062048000,JARDÍN DE INFANTES Nº925 DR. PEDRO AGUILAR ORTIZ,ASCASUBI 86  ,2700,0247 42-5026,eligoixart@hotmail.com,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Privado,Urbano,SAN ISIDRO,06756,MARTINEZ,06756006,062048100,JARDÍN MATERNAL NIDO,TRES SARGENTOS 1770  ,1640,011 4798-3987,florencialimia@gmail.com,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Privado,Urbano,MORON,06568,MORON,06568004,062048200,COLEGIO MARIA AUXILIADORA,25 DE MAYO E/ MITRE Y M. GARCÍA 472  ,1708,011 4629-3088,administracion@colegiomauximoron.edu.ar,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Privado,Urbano,LAS FLORES,06455,LAS FLORES,06455015,062048300,DANTE ALIGHIERI,25 DE MAYO 580  ,7200,02244 44-1128,edalasflores@gmail.com; primaria@dantelasflores.com.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Privado,Urbano,AVELLANEDA,06035,AVELLANEDA,06035001,062048400,JARDÍN DE INFANTES COLEGIO PIO XII,BERUTI E/ AVDA. MITRE Y AVDA. BELGRANO 97  ,1870,011 4201-8863,pioinicial@lgmail.com; colegiopio12@hotmail.com,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Privado,Urbano,LOMAS DE ZAMORA,06490,LOMAS DE ZAMORA,06490005,062048500,CENTRO DE FORMACIÓN PROFESIONAL LEONARDO DA VINCI,ACEVEDO 39  ,1832,011 3036-8998,blancajua@yahoo.com.ar,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
Buenos Aires,Estatal,Urbano,OLAVARRIA,06595,SIERRAS BAYAS,06595036,062048700,CENTRO EDUCATIVO COMPLEMENTARIO Nº5 MATILDE CATRIEL,A. NOBEL Y A. AUST. 1805  ,7403,02284 49-2661,cec805olavarria@abc.com.ar; mdubie@abc.com.ar,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Buenos Aires,Privado,Urbano,GENERAL PAZ,06343,RANCHOS,06343006,062048800,INSTITUTO SECUNDARIO SAGRADO CORAZON,LEANDRO N. ALEM 3454  ,1987,02241 47-5454,ranchos.issc7356@yahoo.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Privado,Urbano,ALMIRANTE BROWN,06028,GLEW,06028006,062049100,COLEGIO PARROQUIAL SANTA ANA,RAUL SOLDI Y ARISTOBULO DEL VALLE   ,1856,02224 42-0702,direccionsecundaria@colegiosantaana.com.ar; secretariasecundaria@colegiosantaana.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,MERCEDES,06532,MERCEDES,06532011,062049300,JARDÍN MATERNAL MUNICIPAL,37 Y 6   ,6600,02324 43-1001,maternalmunicpal1@gmail.com; maternalmunicipalmercedes1@gmail.com,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Urbano,LOBOS,06483,LOBOS,06483012,062049400,JARDÍN MATERNAL MUNICIPAL,CARDONER 309  ,7240,02227 43-0277,jardinmaternallobos@gmail.com,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Privado,Urbano,GENERAL PUEYRREDON,06357,MAR DEL PLATA,06357020,062050000,INSTITUTO ARGENTINO MODELO,HIPOLITO YRIGOYEN 3529  ,7600,0223 472-8339,secundariaiam@hotmail.com,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,ROQUE PEREZ,06693,SAN JOSE,06693018,062050100,CENTRO DE EDUCACIÓN AGRICOLA Nº23,CUARTEL II   ,7245,02227 44-1586,cea23roqueperez@abc.gob.ar; ramirortossi@hotmail.com,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,
Buenos Aires,Estatal,Rural,ROQUE PEREZ,06693,SANTIAGO LARRE,06693019,062050200,JARDÍN DE INFANTES RURAL Nº11,CUARTEL VIII   ,7245,02227 15-41-9350,jardinrural11larre@gmail.com,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,Estatal,Rural,ROQUE PEREZ,06693,LA REFORMA,06693014,062050300,JARDÍN DE INFANTES RURAL Nº12,CUARTEL VIII   ,7245,02227 15-52-2236,jardinrural12roqueperez@abc.gob.ar; srial2@abc.gob.ar,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
